,id,code,category,parent,value
367,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-1051,detailed,"Physical Sciences Teachers, Postsecondary",50
368,"Chemistry Teachers, Postsecondary",25-1052,detailed,"Physical Sciences Teachers, Postsecondary",50
369,"Environmental Science Teachers, Postsecondary",25-1053,detailed,"Physical Sciences Teachers, Postsecondary",50
370,"Physics Teachers, Postsecondary",25-1054,detailed,"Physical Sciences Teachers, Postsecondary",50
371,"Social Sciences Teachers, Postsecondary",25-1060,broad,Postsecondary Teachers,50
372,"Anthropology and Archeology Teachers, Postsecondary",25-1061,detailed,"Social Sciences Teachers, Postsecondary",50
373,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-1062,detailed,"Social Sciences Teachers, Postsecondary",50
374,"Economics Teachers, Postsecondary",25-1063,detailed,"Social Sciences Teachers, Postsecondary",50
375,"Geography Teachers, Postsecondary",25-1064,detailed,"Social Sciences Teachers, Postsecondary",50
376,"Political Science Teachers, Postsecondary",25-1065,detailed,"Social Sciences Teachers, Postsecondary",50
377,"Psychology Teachers, Postsecondary",25-1066,detailed,"Social Sciences Teachers, Postsecondary",50
378,"Sociology Teachers, Postsecondary",25-1067,detailed,"Social Sciences Teachers, Postsecondary",50
379,"Social Sciences Teachers, Postsecondary, All Other",25-1069,detailed,"Social Sciences Teachers, Postsecondary",50
380,"Health Teachers, Postsecondary",25-1070,broad,Postsecondary Teachers,50
381,"Health Specialties Teachers, Postsecondary",25-1071,detailed,"Health Teachers, Postsecondary",50
382,"Nursing Instructors and Teachers, Postsecondary",25-1072,detailed,"Health Teachers, Postsecondary",50
383,"Education and Library Science Teachers, Postsecondary",25-1080,broad,Postsecondary Teachers,50
384,"Education Teachers, Postsecondary",25-1081,detailed,"Education and Library Science Teachers, Postsecondary",50
385,"Library Science Teachers, Postsecondary",25-1082,detailed,"Education and Library Science Teachers, Postsecondary",50
386,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",25-1110,broad,Postsecondary Teachers,50
387,"Criminal Justice and Law Enforcement Teachers, Postsecondary",25-1111,detailed,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",50
388,"Law Teachers, Postsecondary",25-1112,detailed,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",50
389,"Social Work Teachers, Postsecondary",25-1113,detailed,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",50
390,"Arts, Communications, History, and Humanities Teachers, Postsecondary",25-1120,broad,Postsecondary Teachers,50
391,"Art, Drama, and Music Teachers, Postsecondary",25-1121,detailed,"Arts, Communications, History, and Humanities Teachers, Postsecondary",50
392,"Communications Teachers, Postsecondary",25-1122,detailed,"Arts, Communications, History, and Humanities Teachers, Postsecondary",50
393,"English Language and Literature Teachers, Postsecondary",25-1123,detailed,"Arts, Communications, History, and Humanities Teachers, Postsecondary",50
394,"Foreign Language and Literature Teachers, Postsecondary",25-1124,detailed,"Arts, Communications, History, and Humanities Teachers, Postsecondary",50
395,"History Teachers, Postsecondary",25-1125,detailed,"Arts, Communications, History, and Humanities Teachers, Postsecondary",50
396,"Philosophy and Religion Teachers, Postsecondary",25-1126,detailed,"Arts, Communications, History, and Humanities Teachers, Postsecondary",50
397,Miscellaneous Postsecondary Teachers,25-1190,broad,Postsecondary Teachers,50
398,"Family and Consumer Sciences Teachers, Postsecondary",25-1192,detailed,Miscellaneous Postsecondary Teachers,50
399,"Recreation and Fitness Studies Teachers, Postsecondary",25-1193,detailed,Miscellaneous Postsecondary Teachers,50
400,"Career/Technical Education Teachers, Postsecondary",25-1194,detailed,Miscellaneous Postsecondary Teachers,50
401,"Postsecondary Teachers, All Other",25-1199,detailed,Miscellaneous Postsecondary Teachers,50
402,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",25-2000,minor,Educational Instruction and Library Occupations,50
403,Preschool and Kindergarten Teachers,25-2010,broad,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",50
404,"Preschool Teachers, Except Special Education",25-2011,detailed,Preschool and Kindergarten Teachers,50
405,"Kindergarten Teachers, Except Special Education",25-2012,detailed,Preschool and Kindergarten Teachers,50
406,Elementary and Middle School Teachers,25-2020,broad,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",50
407,"Elementary School Teachers, Except Special Education",25-2021,detailed,Elementary and Middle School Teachers,50
408,"Middle School Teachers, Except Special and Career/Technical Education",25-2022,detailed,Elementary and Middle School Teachers,50
409,"Career/Technical Education Teachers, Middle School",25-2023,detailed,Elementary and Middle School Teachers,50
410,Secondary School Teachers,25-2030,broad,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",50
411,"Secondary School Teachers, Except Special and Career/Technical Education",25-2031,detailed,Secondary School Teachers,50
412,"Career/Technical Education Teachers, Secondary School",25-2032,detailed,Secondary School Teachers,50
413,Special Education Teachers,25-2050,broad,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",50
414,"Special Education Teachers, Preschool",25-2051,detailed,Special Education Teachers,50
415,"Special Education Teachers, Kindergarten",25-2055,detailed,Special Education Teachers,50
416,"Special Education Teachers, Elementary School",25-2056,detailed,Special Education Teachers,50
417,"Special Education Teachers, Middle School",25-2057,detailed,Special Education Teachers,50
418,"Special Education Teachers, Secondary School",25-2058,detailed,Special Education Teachers,50
419,"Special Education Teachers, All Other",25-2059,detailed,Special Education Teachers,50
420,Other Teachers and Instructors,25-3000,minor,Educational Instruction and Library Occupations,50
421,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",25-3010,broad,Other Teachers and Instructors,50
422,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",25-3011,detailed,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",50
423,Self-Enrichment Teachers,25-3020,broad,Other Teachers and Instructors,50
424,Self-Enrichment Teachers,25-3021,detailed,Self-Enrichment Teachers,50
425,"Substitute Teachers, Short-Term",25-3030,broad,Other Teachers and Instructors,50
426,"Substitute Teachers, Short-Term",25-3031,detailed,"Substitute Teachers, Short-Term",50
427,Tutors,25-3040,broad,Other Teachers and Instructors,50
428,Tutors,25-3041,detailed,Tutors,50
429,Miscellaneous Teachers and Instructors,25-3090,broad,Other Teachers and Instructors,50
430,"Teachers and Instructors, All Other",25-3099,detailed,Miscellaneous Teachers and Instructors,50
431,"Librarians, Curators, and Archivists",25-4000,minor,Educational Instruction and Library Occupations,50
432,"Archivists, Curators, and Museum Technicians",25-4010,broad,"Librarians, Curators, and Archivists",50
433,Archivists,25-4011,detailed,"Archivists, Curators, and Museum Technicians",50
434,Curators,25-4012,detailed,"Archivists, Curators, and Museum Technicians",50
435,Museum Technicians and Conservators,25-4013,detailed,"Archivists, Curators, and Museum Technicians",50
436,Librarians and Media Collections Specialists,25-4020,broad,"Librarians, Curators, and Archivists",50
437,Librarians and Media Collections Specialists,25-4022,detailed,Librarians and Media Collections Specialists,50
438,Library Technicians,25-4030,broad,"Librarians, Curators, and Archivists",50
439,Library Technicians,25-4031,detailed,Library Technicians,50
440,Other Educational Instruction and Library Occupations,25-9000,minor,Educational Instruction and Library Occupations,50
441,Farm and Home Management Educators,25-9020,broad,Other Educational Instruction and Library Occupations,50
442,Farm and Home Management Educators,25-9021,detailed,Farm and Home Management Educators,50
443,Instructional Coordinators,25-9030,broad,Other Educational Instruction and Library Occupations,50
444,Instructional Coordinators,25-9031,detailed,Instructional Coordinators,50
445,Teaching Assistants,25-9040,broad,Other Educational Instruction and Library Occupations,50
446,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",25-9042,detailed,Teaching Assistants,50
447,"Teaching Assistants, Special Education",25-9043,detailed,Teaching Assistants,50
448,"Teaching Assistants, Postsecondary",25-9044,detailed,Teaching Assistants,50
449,"Teaching Assistants, All Other",25-9049,detailed,Teaching Assistants,50
450,Miscellaneous Educational Instruction and Library Workers,25-9090,broad,Other Educational Instruction and Library Occupations,50
451,"Educational Instruction and Library Workers, All Other",25-9099,detailed,Miscellaneous Educational Instruction and Library Workers,50
452,"Arts, Design, Entertainment, Sports, and Media Occupations",27-0000,major,All Occupations,50
453,Art and Design Workers,27-1000,minor,"Arts, Design, Entertainment, Sports, and Media Occupations",50
454,Artists and Related Workers,27-1010,broad,Art and Design Workers,50
455,Art Directors,27-1011,detailed,Artists and Related Workers,50
456,Craft Artists,27-1012,detailed,Artists and Related Workers,50
457,"Fine Artists, Including Painters, Sculptors, and Illustrators",27-1013,detailed,Artists and Related Workers,50
458,Special Effects Artists and Animators,27-1014,detailed,Artists and Related Workers,50
459,"Artists and Related Workers, All Other",27-1019,detailed,Artists and Related Workers,50
460,Designers,27-1020,broad,Art and Design Workers,50
461,Commercial and Industrial Designers,27-1021,detailed,Designers,50
462,Fashion Designers,27-1022,detailed,Designers,50
463,Floral Designers,27-1023,detailed,Designers,50
464,Graphic Designers,27-1024,detailed,Designers,50
465,Interior Designers,27-1025,detailed,Designers,50
466,Merchandise Displayers and Window Trimmers,27-1026,detailed,Designers,50
467,Set and Exhibit Designers,27-1027,detailed,Designers,50
468,"Designers, All Other",27-1029,detailed,Designers,50
469,"Entertainers and Performers, Sports and Related Workers",27-2000,minor,"Arts, Design, Entertainment, Sports, and Media Occupations",50
470,"Actors, Producers, and Directors",27-2010,broad,"Entertainers and Performers, Sports and Related Workers",50
471,Actors,27-2011,detailed,"Actors, Producers, and Directors",50
472,Producers and Directors,27-2012,detailed,"Actors, Producers, and Directors",50
473,"Athletes, Coaches, Umpires, and Related Workers",27-2020,broad,"Entertainers and Performers, Sports and Related Workers",50
474,Athletes and Sports Competitors,27-2021,detailed,"Athletes, Coaches, Umpires, and Related Workers",50
475,Coaches and Scouts,27-2022,detailed,"Athletes, Coaches, Umpires, and Related Workers",50
476,"Umpires, Referees, and Other Sports Officials",27-2023,detailed,"Athletes, Coaches, Umpires, and Related Workers",50
477,Dancers and Choreographers,27-2030,broad,"Entertainers and Performers, Sports and Related Workers",50
478,Dancers,27-2031,detailed,Dancers and Choreographers,50
479,Choreographers,27-2032,detailed,Dancers and Choreographers,50
480,"Musicians, Singers, and Related Workers",27-2040,broad,"Entertainers and Performers, Sports and Related Workers",50
481,Music Directors and Composers,27-2041,detailed,"Musicians, Singers, and Related Workers",50
482,Musicians and Singers,27-2042,detailed,"Musicians, Singers, and Related Workers",50
483,"Miscellaneous Entertainers and Performers, Sports and Related Workers",27-2090,broad,"Entertainers and Performers, Sports and Related Workers",50
484,"Disc Jockeys, Except Radio",27-2091,detailed,"Miscellaneous Entertainers and Performers, Sports and Related Workers",50
485,"Entertainers and Performers, Sports and Related Workers, All Other",27-2099,detailed,"Miscellaneous Entertainers and Performers, Sports and Related Workers",50
486,Media and Communication Workers,27-3000,minor,"Arts, Design, Entertainment, Sports, and Media Occupations",50
487,Broadcast Announcers and Radio Disc Jockeys,27-3010,broad,Media and Communication Workers,50
488,Broadcast Announcers and Radio Disc Jockeys,27-3011,detailed,Broadcast Announcers and Radio Disc Jockeys,50
489,"News Analysts, Reporters and Journalists",27-3020,broad,Media and Communication Workers,50
490,"News Analysts, Reporters, and Journalists",27-3023,detailed,"News Analysts, Reporters and Journalists",50
491,Public Relations Specialists,27-3030,broad,Media and Communication Workers,50
492,Public Relations Specialists,27-3031,detailed,Public Relations Specialists,50
493,Writers and Editors,27-3040,broad,Media and Communication Workers,50
494,Editors,27-3041,detailed,Writers and Editors,50
495,Technical Writers,27-3042,detailed,Writers and Editors,50
496,Writers and Authors,27-3043,detailed,Writers and Editors,50
497,Miscellaneous Media and Communication Workers,27-3090,broad,Media and Communication Workers,50
498,Interpreters and Translators,27-3091,detailed,Miscellaneous Media and Communication Workers,50
499,Court Reporters and Simultaneous Captioners,27-3092,detailed,Miscellaneous Media and Communication Workers,50
500,"Media and Communication Workers, All Other",27-3099,detailed,Miscellaneous Media and Communication Workers,50
501,Media and Communication Equipment Workers,27-4000,minor,"Arts, Design, Entertainment, Sports, and Media Occupations",50
502,"Broadcast, Sound, and Lighting Technicians",27-4010,broad,Media and Communication Equipment Workers,50
503,Audio and Video Technicians,27-4011,detailed,"Broadcast, Sound, and Lighting Technicians",50
504,Broadcast Technicians,27-4012,detailed,"Broadcast, Sound, and Lighting Technicians",50
505,Sound Engineering Technicians,27-4014,detailed,"Broadcast, Sound, and Lighting Technicians",50
506,Lighting Technicians,27-4015,detailed,"Broadcast, Sound, and Lighting Technicians",50
507,Photographers,27-4020,broad,Media and Communication Equipment Workers,50
508,Photographers,27-4021,detailed,Photographers,50
509,"Television, Video, and Film Camera Operators and Editors",27-4030,broad,Media and Communication Equipment Workers,50
510,"Camera Operators, Television, Video, and Film",27-4031,detailed,"Television, Video, and Film Camera Operators and Editors",50
511,Film and Video Editors,27-4032,detailed,"Television, Video, and Film Camera Operators and Editors",50
512,Miscellaneous Media and Communication Equipment Workers,27-4090,broad,Media and Communication Equipment Workers,50
513,"Media and Communication Equipment Workers, All Other",27-4099,detailed,Miscellaneous Media and Communication Equipment Workers,50
514,Healthcare Practitioners and Technical Occupations,29-0000,major,All Occupations,50
515,Healthcare Diagnosing or Treating Practitioners,29-1000,minor,Healthcare Practitioners and Technical Occupations,50
516,Chiropractors,29-1010,broad,Healthcare Diagnosing or Treating Practitioners,50
517,Chiropractors,29-1011,detailed,Chiropractors,50
518,Dentists,29-1020,broad,Healthcare Diagnosing or Treating Practitioners,50
519,"Dentists, General",29-1021,detailed,Dentists,50
520,Oral and Maxillofacial Surgeons,29-1022,detailed,Dentists,50
521,Orthodontists,29-1023,detailed,Dentists,50
522,Prosthodontists,29-1024,detailed,Dentists,50
523,"Dentists, All Other Specialists",29-1029,detailed,Dentists,50
524,Dietitians and Nutritionists,29-1030,broad,Healthcare Diagnosing or Treating Practitioners,50
525,Dietitians and Nutritionists,29-1031,detailed,Dietitians and Nutritionists,50
526,Optometrists,29-1040,broad,Healthcare Diagnosing or Treating Practitioners,50
527,Optometrists,29-1041,detailed,Optometrists,50
528,Pharmacists,29-1050,broad,Healthcare Diagnosing or Treating Practitioners,50
529,Pharmacists,29-1051,detailed,Pharmacists,50
530,Physician Assistants,29-1070,broad,Healthcare Diagnosing or Treating Practitioners,50
531,Physician Assistants,29-1071,detailed,Physician Assistants,50
532,Podiatrists,29-1080,broad,Healthcare Diagnosing or Treating Practitioners,50
533,Podiatrists,29-1081,detailed,Podiatrists,50
534,Therapists,29-1120,broad,Healthcare Diagnosing or Treating Practitioners,50
535,Occupational Therapists,29-1122,detailed,Therapists,50
536,Physical Therapists,29-1123,detailed,Therapists,50
537,Radiation Therapists,29-1124,detailed,Therapists,50
538,Recreational Therapists,29-1125,detailed,Therapists,50
539,Respiratory Therapists,29-1126,detailed,Therapists,50
540,Speech-Language Pathologists,29-1127,detailed,Therapists,50
541,Exercise Physiologists,29-1128,detailed,Therapists,50
542,"Therapists, All Other",29-1129,detailed,Therapists,50
543,Veterinarians,29-1130,broad,Healthcare Diagnosing or Treating Practitioners,50
544,Veterinarians,29-1131,detailed,Veterinarians,50
545,Registered Nurses,29-1140,broad,Healthcare Diagnosing or Treating Practitioners,50
546,Registered Nurses,29-1141,detailed,Registered Nurses,50
547,Nurse Anesthetists,29-1150,broad,Healthcare Diagnosing or Treating Practitioners,50
548,Nurse Anesthetists,29-1151,detailed,Nurse Anesthetists,50
549,Nurse Midwives,29-1160,broad,Healthcare Diagnosing or Treating Practitioners,50
550,Nurse Midwives,29-1161,detailed,Nurse Midwives,50
551,Nurse Practitioners,29-1170,broad,Healthcare Diagnosing or Treating Practitioners,50
552,Nurse Practitioners,29-1171,detailed,Nurse Practitioners,50
553,Audiologists,29-1180,broad,Healthcare Diagnosing or Treating Practitioners,50
554,Audiologists,29-1181,detailed,Audiologists,50
555,Physicians,29-1210,broad,Healthcare Diagnosing or Treating Practitioners,50
556,Anesthesiologists,29-1211,detailed,Physicians,50
557,Cardiologists,29-1212,detailed,Physicians,50
558,Dermatologists,29-1213,detailed,Physicians,50
559,Emergency Medicine Physicians,29-1214,detailed,Physicians,50
560,Family Medicine Physicians,29-1215,detailed,Physicians,50
561,General Internal Medicine Physicians,29-1216,detailed,Physicians,50
562,Neurologists,29-1217,detailed,Physicians,50
563,Obstetricians and Gynecologists,29-1218,detailed,Physicians,50
564,"Pediatricians, General",29-1221,detailed,Physicians,50
565,"Physicians, Pathologists",29-1222,detailed,Physicians,50
566,Psychiatrists,29-1223,detailed,Physicians,50
567,Radiologists,29-1224,detailed,Physicians,50
568,"Physicians, All Other",29-1229,detailed,Physicians,50
569,Surgeons,29-1240,broad,Healthcare Diagnosing or Treating Practitioners,50
570,"Ophthalmologists, Except Pediatric",29-1241,detailed,Surgeons,50
571,"Orthopedic Surgeons, Except Pediatric",29-1242,detailed,Surgeons,50
572,Pediatric Surgeons,29-1243,detailed,Surgeons,50
573,"Surgeons, All Other",29-1249,detailed,Surgeons,50
574,Miscellaneous Healthcare Diagnosing or Treating Practitioners,29-1290,broad,Healthcare Diagnosing or Treating Practitioners,50
575,Acupuncturists,29-1291,detailed,Miscellaneous Healthcare Diagnosing or Treating Practitioners,50
576,Dental Hygienists,29-1292,detailed,Miscellaneous Healthcare Diagnosing or Treating Practitioners,50
577,"Healthcare Diagnosing or Treating Practitioners, All Other",29-1299,detailed,Miscellaneous Healthcare Diagnosing or Treating Practitioners,50
578,Health Technologists and Technicians,29-2000,minor,Healthcare Practitioners and Technical Occupations,50
579,Clinical Laboratory Technologists and Technicians,29-2010,broad,Health Technologists and Technicians,50
580,Medical and Clinical Laboratory Technologists,29-2011,detailed,Clinical Laboratory Technologists and Technicians,50
581,Medical and Clinical Laboratory Technicians,29-2012,detailed,Clinical Laboratory Technologists and Technicians,50
582,Diagnostic Related Technologists and Technicians,29-2030,broad,Health Technologists and Technicians,50
583,Cardiovascular Technologists and Technicians,29-2031,detailed,Diagnostic Related Technologists and Technicians,50
584,Diagnostic Medical Sonographers,29-2032,detailed,Diagnostic Related Technologists and Technicians,50
585,Nuclear Medicine Technologists,29-2033,detailed,Diagnostic Related Technologists and Technicians,50
586,Radiologic Technologists and Technicians,29-2034,detailed,Diagnostic Related Technologists and Technicians,50
587,Magnetic Resonance Imaging Technologists,29-2035,detailed,Diagnostic Related Technologists and Technicians,50
588,Medical Dosimetrists,29-2036,detailed,Diagnostic Related Technologists and Technicians,50
589,Emergency Medical Technicians and Paramedics,29-2040,broad,Health Technologists and Technicians,50
590,Emergency Medical Technicians,29-2042,detailed,Emergency Medical Technicians and Paramedics,50
591,Paramedics,29-2043,detailed,Emergency Medical Technicians and Paramedics,50
592,Health Practitioner Support Technologists and Technicians,29-2050,broad,Health Technologists and Technicians,50
593,Dietetic Technicians,29-2051,detailed,Health Practitioner Support Technologists and Technicians,50
594,Pharmacy Technicians,29-2052,detailed,Health Practitioner Support Technologists and Technicians,50
595,Psychiatric Technicians,29-2053,detailed,Health Practitioner Support Technologists and Technicians,50
596,Surgical Technologists,29-2055,detailed,Health Practitioner Support Technologists and Technicians,50
597,Veterinary Technologists and Technicians,29-2056,detailed,Health Practitioner Support Technologists and Technicians,50
598,Ophthalmic Medical Technicians,29-2057,detailed,Health Practitioner Support Technologists and Technicians,50
599,Licensed Practical and Licensed Vocational Nurses,29-2060,broad,Health Technologists and Technicians,50
600,Licensed Practical and Licensed Vocational Nurses,29-2061,detailed,Licensed Practical and Licensed Vocational Nurses,50
601,Medical Records Specialists,29-2070,broad,Health Technologists and Technicians,50
602,Medical Records Specialists,29-2072,detailed,Medical Records Specialists,50
603,"Opticians, Dispensing",29-2080,broad,Health Technologists and Technicians,50
604,"Opticians, Dispensing",29-2081,detailed,"Opticians, Dispensing",50
605,Miscellaneous Health Technologists and Technicians,29-2090,broad,Health Technologists and Technicians,50
606,Orthotists and Prosthetists,29-2091,detailed,Miscellaneous Health Technologists and Technicians,50
607,Hearing Aid Specialists,29-2092,detailed,Miscellaneous Health Technologists and Technicians,50
608,"Health Technologists and Technicians, All Other",29-2099,detailed,Miscellaneous Health Technologists and Technicians,50
609,Other Healthcare Practitioners and Technical Occupations,29-9000,minor,Healthcare Practitioners and Technical Occupations,50
610,Health Information Technologists and Medical Registrars,29-9020,broad,Other Healthcare Practitioners and Technical Occupations,50
611,Health Information Technologists and Medical Registrars,29-9021,detailed,Health Information Technologists and Medical Registrars,50
612,Miscellaneous Health Practitioners and Technical Workers,29-9090,broad,Other Healthcare Practitioners and Technical Occupations,50
613,Athletic Trainers,29-9091,detailed,Miscellaneous Health Practitioners and Technical Workers,50
614,Genetic Counselors,29-9092,detailed,Miscellaneous Health Practitioners and Technical Workers,50
615,Surgical Assistants,29-9093,detailed,Miscellaneous Health Practitioners and Technical Workers,50
616,"Healthcare Practitioners and Technical Workers, All Other",29-9099,detailed,Miscellaneous Health Practitioners and Technical Workers,50
617,Healthcare Support Occupations,31-0000,major,All Occupations,50
618,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",31-1100,minor,Healthcare Support Occupations,50
619,Home Health and Personal Care Aides,31-1120,broad,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",50
620,Home Health Aides,31-1121,detailed,Home Health and Personal Care Aides,50
621,Personal Care Aides,31-1122,detailed,Home Health and Personal Care Aides,50
622,"Nursing Assistants, Orderlies, and Psychiatric Aides",31-1130,broad,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",50
623,Nursing Assistants,31-1131,detailed,"Nursing Assistants, Orderlies, and Psychiatric Aides",50
624,Orderlies,31-1132,detailed,"Nursing Assistants, Orderlies, and Psychiatric Aides",50
625,Psychiatric Aides,31-1133,detailed,"Nursing Assistants, Orderlies, and Psychiatric Aides",50
626,Occupational Therapy and Physical Therapist Assistants and Aides,31-2000,minor,Healthcare Support Occupations,50
627,Occupational Therapy Assistants and Aides,31-2010,broad,Occupational Therapy and Physical Therapist Assistants and Aides,50
628,Occupational Therapy Assistants,31-2011,detailed,Occupational Therapy Assistants and Aides,50
629,Occupational Therapy Aides,31-2012,detailed,Occupational Therapy Assistants and Aides,50
630,Physical Therapist Assistants and Aides,31-2020,broad,Occupational Therapy and Physical Therapist Assistants and Aides,50
631,Physical Therapist Assistants,31-2021,detailed,Physical Therapist Assistants and Aides,50
632,Physical Therapist Aides,31-2022,detailed,Physical Therapist Assistants and Aides,50
633,Other Healthcare Support Occupations,31-9000,minor,Healthcare Support Occupations,50
634,Massage Therapists,31-9010,broad,Other Healthcare Support Occupations,50
635,Massage Therapists,31-9011,detailed,Massage Therapists,50
636,Miscellaneous Healthcare Support Occupations,31-9090,broad,Other Healthcare Support Occupations,50
637,Dental Assistants,31-9091,detailed,Miscellaneous Healthcare Support Occupations,50
638,Medical Assistants,31-9092,detailed,Miscellaneous Healthcare Support Occupations,50
639,Medical Equipment Preparers,31-9093,detailed,Miscellaneous Healthcare Support Occupations,50
640,Medical Transcriptionists,31-9094,detailed,Miscellaneous Healthcare Support Occupations,50
641,Pharmacy Aides,31-9095,detailed,Miscellaneous Healthcare Support Occupations,50
642,Veterinary Assistants and Laboratory Animal Caretakers,31-9096,detailed,Miscellaneous Healthcare Support Occupations,50
643,Phlebotomists,31-9097,detailed,Miscellaneous Healthcare Support Occupations,50
644,"Healthcare Support Workers, All Other",31-9099,detailed,Miscellaneous Healthcare Support Occupations,50
645,Protective Service Occupations,33-0000,major,All Occupations,50
646,Supervisors of Protective Service Workers,33-1000,minor,Protective Service Occupations,50
647,First-Line Supervisors of Law Enforcement Workers,33-1010,broad,Supervisors of Protective Service Workers,50
648,First-Line Supervisors of Correctional Officers,33-1011,detailed,First-Line Supervisors of Law Enforcement Workers,50
649,First-Line Supervisors of Police and Detectives,33-1012,detailed,First-Line Supervisors of Law Enforcement Workers,50
650,First-Line Supervisors of Firefighting and Prevention Workers,33-1020,broad,Supervisors of Protective Service Workers,50
651,First-Line Supervisors of Firefighting and Prevention Workers,33-1021,detailed,First-Line Supervisors of Firefighting and Prevention Workers,50
652,"Miscellaneous First-Line Supervisors, Protective Service Workers",33-1090,broad,Supervisors of Protective Service Workers,50
653,First-Line Supervisors of Security Workers,33-1091,detailed,"Miscellaneous First-Line Supervisors, Protective Service Workers",50
654,"First-Line Supervisors of Protective Service Workers, All Other",33-1099,detailed,"Miscellaneous First-Line Supervisors, Protective Service Workers",50
655,Firefighting and Prevention Workers,33-2000,minor,Protective Service Occupations,50
656,Firefighters,33-2010,broad,Firefighting and Prevention Workers,50
657,Firefighters,33-2011,detailed,Firefighters,50
658,Fire Inspectors,33-2020,broad,Firefighting and Prevention Workers,50
659,Fire Inspectors and Investigators,33-2021,detailed,Fire Inspectors,50
660,Forest Fire Inspectors and Prevention Specialists,33-2022,detailed,Fire Inspectors,50
661,Law Enforcement Workers,33-3000,minor,Protective Service Occupations,50
662,"Bailiffs, Correctional Officers, and Jailers",33-3010,broad,Law Enforcement Workers,50
663,Bailiffs,33-3011,detailed,"Bailiffs, Correctional Officers, and Jailers",50
664,Correctional Officers and Jailers,33-3012,detailed,"Bailiffs, Correctional Officers, and Jailers",50
665,Detectives and Criminal Investigators,33-3020,broad,Law Enforcement Workers,50
666,Detectives and Criminal Investigators,33-3021,detailed,Detectives and Criminal Investigators,50
667,Fish and Game Wardens,33-3030,broad,Law Enforcement Workers,50
668,Fish and Game Wardens,33-3031,detailed,Fish and Game Wardens,50
669,Parking Enforcement Workers,33-3040,broad,Law Enforcement Workers,50
670,Parking Enforcement Workers,33-3041,detailed,Parking Enforcement Workers,50
671,Police Officers,33-3050,broad,Law Enforcement Workers,50
672,Police and Sheriff’s Patrol Officers,33-3051,detailed,Police Officers,50
673,Transit and Railroad Police,33-3052,detailed,Police Officers,50
674,Other Protective Service Workers,33-9000,minor,Protective Service Occupations,50
675,Animal Control Workers,33-9010,broad,Other Protective Service Workers,50
676,Animal Control Workers,33-9011,detailed,Animal Control Workers,50
677,Private Detectives and Investigators,33-9020,broad,Other Protective Service Workers,50
678,Private Detectives and Investigators,33-9021,detailed,Private Detectives and Investigators,50
679,Security Guards and Gambling Surveillance Officers,33-9030,broad,Other Protective Service Workers,50
680,Gambling Surveillance Officers and Gambling Investigators,33-9031,detailed,Security Guards and Gambling Surveillance Officers,50
681,Security Guards,33-9032,detailed,Security Guards and Gambling Surveillance Officers,50
682,Miscellaneous Protective Service Workers,33-9090,broad,Other Protective Service Workers,50
683,Crossing Guards and Flaggers,33-9091,detailed,Miscellaneous Protective Service Workers,50
684,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33-9092,detailed,Miscellaneous Protective Service Workers,50
685,Transportation Security Screeners,33-9093,detailed,Miscellaneous Protective Service Workers,50
686,School Bus Monitors,33-9094,detailed,Miscellaneous Protective Service Workers,50
687,"Protective Service Workers, All Other",33-9099,detailed,Miscellaneous Protective Service Workers,50
688,Food Preparation and Serving Related Occupations,35-0000,major,All Occupations,50
689,Supervisors of Food Preparation and Serving Workers,35-1000,minor,Food Preparation and Serving Related Occupations,50
690,Supervisors of Food Preparation and Serving Workers,35-1010,broad,Supervisors of Food Preparation and Serving Workers,50
691,Chefs and Head Cooks,35-1011,detailed,Supervisors of Food Preparation and Serving Workers,50
692,First-Line Supervisors of Food Preparation and Serving Workers,35-1012,detailed,Supervisors of Food Preparation and Serving Workers,50
693,Cooks and Food Preparation Workers,35-2000,minor,Food Preparation and Serving Related Occupations,50
694,Cooks,35-2010,broad,Cooks and Food Preparation Workers,50
695,"Cooks, Fast Food",35-2011,detailed,Cooks,50
696,"Cooks, Institution and Cafeteria",35-2012,detailed,Cooks,50
697,"Cooks, Private Household",35-2013,detailed,Cooks,50
698,"Cooks, Restaurant",35-2014,detailed,Cooks,50
699,"Cooks, Short Order",35-2015,detailed,Cooks,50
700,"Cooks, All Other",35-2019,detailed,Cooks,50
